Site ID,Enforcement Type,Approach,Cross Street,Travel Direction,Posted Speed,Latitude,Longitude,Geo Location
ED011,Red Light/Speed on Green,109 Street,at 104 Avenue,Southbound,50 km/h,53.54646216,-113.5085364,"(53.54646216, -113.5085364)"
ED020,Red Light/Speed on Green,Yellowhead Trail,at 107 Street,Westbound,70 km/h,53.58145379,-113.504608,"(53.58145379, -113.504608)"
ED022,Red Light/Speed on Green,Stony Plain Road,at 156 Street,Westbound,50 km/h,53.54129492,-113.5897747,"(53.54129492, -113.5897747)"
ED037,Red Light/Speed on Green,178 Street,at 87 Avenue,Northbound,60 km/h,53.52088061,-113.6304399,"(53.52088061, -113.6304399)"
ED013,Red Light/Speed on Green,104 Avenue,at 109 Street,Eastbound,50 km/h,53.54622011,-113.5090615,"(53.54622011, -113.5090615)"
ED007,Red Light/Speed on Green,Yellowhead Trail,at 149 Avenue,Eastbound,70 km/h,53.58120518,-113.578715,"(53.58120518, -113.578715)"
ED014,Red Light/Speed on Green,50 Street,at 137 Avenue,Southbound,60 km/h,53.5974957,-113.4134868,"(53.5974957, -113.4134868)"
ED050,Red Light/Speed on Green,Manning Drive,at 50 Street,Northbound,70 km/h,53.60137171,-113.4170665,"(53.60137171, -113.4170665)"
ED008,Red Light/Speed on Green,Yellowhead Trail,at 127 Avenue,Westbound,70 km/h,53.58073876,-113.5406622,"(53.58073876, -113.5406622)"
ED044,Red Light/Speed on Green,137 Avenue,at 97 Street,Eastbound,60 km/h,53.59942879,-113.4928734,"(53.59942879, -113.4928734)"
ED048,Red Light/Speed on Green,Manning Drive,at 137 Avenue,Southbound,70 km/h,53.59954286,-113.4212717,"(53.59954286, -113.4212717)"
ED021,Red Light/Speed on Green,Yellowhead Trail,at 127 Street,Eastbound,70 km/h,53.5806233,-113.5419714,"(53.5806233, -113.5419714)"
ED030,Red Light/Speed on Green,Calgary Trail,at 51 Avenue,Southbound,60 km/h,53.48844109,-113.4949133,"(53.48844109, -113.4949133)"
ED034,Red Light/Speed on Green,170 Street,at Stony Plain Road,Northbound,60 km/h,53.54099587,-113.6149232,"(53.54099587, -113.6149232)"
ED047,Red Light/Speed on Green,Wayne Gretzky Drive,at 118 Avenue,Northbound,60 km/h,53.56979565,-113.4521125,"(53.56979565, -113.4521125)"
ED046,Red Light/Speed on Green,97 Street,at 122 Avenue,Southbound,60 km/h,53.57706746,-113.4922687,"(53.57706746, -113.4922687)"
