Site ID,Approach,Cross Street,Travel Direction,Posted Speed,Latitude,Longitude,Geo Location
ED2083,97 Street,at 144 Avenue,Northbound,70 km/h,53.606472,-113.491714,"(53.606472, -113.491714)"
ED2074,66 Street,at 167 Avenue,Northbound,60 km/h,53.628394,-113.44284,"(53.628394, -113.44284)"
ED2086,23 Avenue,at 91 Street,Eastbound,60 km/h,53.451741,-113.467372,"(53.451741, -113.467372)"
ED2087,127 Street,at 126 Avenue,Southbound,50 km/h,53.582637,-113.541188,"(53.582637, -113.541188)"
ED2082,50 Street,at Ellerslie Road,Northbound,60 km/h,53.42432,-113.417755,"(53.42432, -113.417755)"
ED2071,82 Street,at 112 Avenue,Northbound,50 km/h,53.560908,-113.467294,"(53.560908, -113.467294)"
ED2078,153 Avenue,at 127 Street,Westbound,60 km/h,53.617021,-113.54053,"(53.617021, -113.54053)"
ED2079,Parsons Road,at Ellerslie Road,Southbound,60 km/h,53.425615,-113.479951,"(53.425615, -113.479951)"
ED2056,Gateway Blvd,at 63 Avenue,Northbound,60 km/h,53.499319,-113.493421,"(53.499319, -113.493421)"
ED2090,63 Avenue,at Gateway Blvd,Westbound,60 km/h,53.499942,-113.492922,"(53.499942, -113.492922)"
ED2091,50 Street,at Ellerslie Road,Southbound,60 km/h,53.425224,-113.418183,"(53.425224, -113.418183)"
ED2101,Calgary Trail,at Whitemud Drive,Southbound,60 km/h,53.481441,-113.495304,"(53.481441, -113.495304)"
ED2030,Calgary Trail,at 51 Avenue,Southbound,60 km/h,53.48844109,-113.4949133,"(53.48844109, -113.4949133)"
ED2089,167 Avenue,at 127 Street,Eastbound,60 km/h,53.628684,-113.542165,"(53.628684, -113.542165)"
ED2088,167 Avenue,at 127 Street,Westbound,60 km/h,53.628841,-113.540383,"(53.628841, -113.540383)"
ED1046,97 Street,at 122 Avenue,Southbound,60 km/h,53.57706746,-113.4922687,"(53.57706746, -113.4922687)"
ED2076,Groat Road,at 118 Avenue,Northbound,60 km/h,53.569774,-113.549196,"(53.569774, -113.549196)"
ED2037,178 Street,at 87 Avenue,Northbound,60 km/h,53.52088061,-113.6304399,"(53.52088061, -113.6304399)"
ED2004,91 Street,at 34 Avenue,Southbound,70 km/h,53.46569548,-113.4668631,"(53.46569548, -113.4668631)"
ED2009,Yellowhead Trail,at 107 Street,Eastbound,70 km/h,53.58129246,-113.5061022,"(53.58129246, -113.5061022)"
ED2084,95 Street,at 103A Avenue,Northbound,50 km/h,53.547669,-113.480138,"(53.547669, -113.480138)"
ED1031,63 Avenue,at 99 Street,Eastbound,60 km/h,53.49980654,-113.4869484,"(53.49980654, -113.4869484)"
ED2025,137 Avenue,at Manning Drive,Eastbound,60 km/h,53.59911391,-113.4227458,"(53.59911391, -113.4227458)"
ED2006,170 Street,at 95 Avenue,Southbound,60 km/h,53.5320087,-113.6153542,"(53.5320087, -113.6153542)"
ED2039,111 Avenue,at 149 Street,Westbound,60 km/h,53.55895644,-113.5773778,"(53.55895644, -113.5773778)"
ED1050,Manning Drive,at 50 Street,Northbound,70 km/h,53.60137171,-113.4170665,"(53.60137171, -113.4170665)"
ED2072,Whitemud Drive,at 111 Street,Northbound,60 km/h,53.48319,-113.515325,"(53.48319, -113.515325)"
ED2042,Castle Downs Road,at 137 Avenue,Southbound,60 km/h,53.59992131,-113.5167956,"(53.59992131, -113.5167956)"
ED008,Yellowhead Trail,at 127 Avenue,Westbound,70 km/h,53.58073876,-113.5406622,"(53.58073876, -113.5406622)"
ED007,Yellowhead Trail,at 149 Avenue,Eastbound,70 km/h,53.58120518,-113.578715,"(53.58120518, -113.578715)"
ED010,127 Street,at Yellowhead Trail,Northbound,50 km/h,53.58026015,-113.5411938,"(53.58026015, -113.5411938)"
ED005,170 Street,at 95 Avenue,Northbound,60 km/h,53.53138521,-113.6151193,"(53.53138521, -113.6151193)"
ED001,34 Avenue,at 91 Street,Eastbound,60 km/h,53.46522609,-113.4674525,"(53.46522609, -113.4674525)"
ED003,34 Avenue,at 91 Street,Westbound,60 km/h,53.46540114,-113.4657331,"(53.46540114, -113.4657331)"
ED002,91 Street,at 34 Avenue,Northbound,70 km/h,53.46489352,-113.4663185,"(53.46489352, -113.4663185)"
ED014,50 Street,at 137 Avenue,Southbound,60 km/h,53.5974957,-113.4134868,"(53.5974957, -113.4134868)"
ED024,156 Street,at Stony Plain Road,Southbound,50 km/h,53.54171636,-113.5903227,"(53.54171636, -113.5903227)"
ED012,104 Avenue,at 109 Street,Westbound,50 km/h,53.54622408,-113.5078498,"(53.54622408, -113.5078498)"
ED1055,111 Street,at Whitemud Drive EB,Northbound,60 km/h,53.482055,-113.515857,"(53.482055, -113.515857)"
ED023,156 Street,at Stony Plain Road,Northbound,50 km/h,53.54091252,-113.5903288,"(53.54091252, -113.5903288)"
ED015,137 Avenue,at 50 Street,Westbound,60 km/h,53.59710754,-113.4125877,"(53.59710754, -113.4125877)"
ED033,170 Street,at 100 Avenue,Southbound,60 km/h,53.53956682,-113.6169067,"(53.53956682, -113.6169067)"
ED2077,Manning Drive,at 153 Avenue,Southbound,70 km/h,53.614882,-113.403378,"(53.614882, -113.403378)"
ED1053,Whitemud Drive,at Calgary Trail,Eastbound,60 km/h,53.4796813,-113.4960327,"(53.4796813, -113.4960327)"
ED1065,34 Avenue,at 50 Street,Eastbound,60 km/h,53.464976,-113.420777,"(53.464976, -113.420777)"
ED1064,23 Avenue,at 66 Street,Eastbound,60 km/h,53.453433,-113.435067,"(53.453433, -113.435067)"
ED1070,Yellowhead Trail,at 66 Street,Eastbound,70 km/h,53.57828,-113.4434288,"(53.57828, -113.4434288)"
ED1054,111 Street,at Whitemud Drive,Southbound,60 km/h,53.483705,-113.517561,"(53.483705, -113.517561)"
ED2063,111 Street,at 23 Avenue,Northbound,60 km/h,53.453378,-113.516161,"(53.453378, -113.516161)"
ED021,Yellowhead Trail,at 127 Street,Eastbound,70 km/h,53.5806233,-113.5419714,"(53.5806233, -113.5419714)"
ED048,Manning Drive,at 137 Avenue,Southbound,70 km/h,53.59954286,-113.4212717,"(53.59954286, -113.4212717)"
ED043,137 Avenue,at 113A Street,Westbound,60 km/h,53.59961683,-113.5160351,"(53.59961683, -113.5160351)"
ED044,137 Avenue,at 97 Street,Eastbound,60 km/h,53.59942879,-113.4928734,"(53.59942879, -113.4928734)"
ED040,137 Avenue,at 127 Street,Eastbound,60 km/h,53.59935449,-113.5420203,"(53.59935449, -113.5420203)"
ED036,170 Street,at 87 Avenue,Southbound,60 km/h,53.52003106,-113.6154822,"(53.52003106, -113.6154822)"
ED1073,100 Avenue,at 175 Street,Eastbound,60 km/h,53.538711,-113.622203,"(53.538711, -113.622203)"
ED2080,75 Street,at 98 Avenue,Southbound,60 km/h,53.537853,-113.443157,"(53.537853, -113.443157)"
ED2057,82 Avenue,at 99 Street,Westbound,50 km/h,53.518117,-113.485539,"(53.518117, -113.485539)"
ED034,170 Street,at Stony Plain Road,Northbound,60 km/h,53.54099587,-113.6149232,"(53.54099587, -113.6149232)"
ED045,97 Street,at 137 Avenue,Southbound,60 km/h,53.59997614,-113.492144,"(53.59997614, -113.492144)"
ED032,170 Street,at 100 Avenue,Northbound,60 km/h,53.53889499,-113.6150049,"(53.53889499, -113.6150049)"
ED020,Yellowhead Trail,at 107 Street,Westbound,70 km/h,53.58145379,-113.504608,"(53.58145379, -113.504608)"
ED2060,23 Avenue,at Terwillegar Drive NB,Westbound,60 km/h,53.457268,-113.587836,"(53.457268, -113.587836)"
ED2085,97 Street,at 111 Avenue,Southbound,50 km/h,53.559371,-113.491877,"(53.559371, -113.491877)"
ED1066,34 Street,at 34 Avenue,Southbound,60 km/h,53.463967,-113.393999,"(53.463967, -113.393999)"
ED028,23 Avenue,at Parsons Road,Westbound,60 km/h,53.45295283,-113.478569,"(53.45295283, -113.478569)"
ED2081,Gateway Blvd,at 34 Avenue,Northbound,60 km/h,53.467373,-113.492054,"(53.467373, -113.492054)"
ED2049,97 Street,at 167 Avenue,Northbound,70 km/h,53.62839682,-113.4916933,"(53.62839682, -113.4916933)"
ED011,109 Street,at 104 Avenue,Southbound,50 km/h,53.54646216,-113.5085364,"(53.54646216, -113.5085364)"
ED2059,153 Avenue,at 97 Street,Westbound,60 km/h,53.614133,-113.490546,"(53.614133, -113.490546)"
ED1068,170 Street,at 69 Avenue,Southbound,60 km/h,53.5049067,-113.6157943,"(53.5049067, -113.6157943)"
ED035,170 Street,at 87 Avenue,Northbound,60 km/h,53.51907771,-113.6152341,"(53.51907771, -113.6152341)"
