Site ID,Location Description,Speed Limit,Reason Code(s),Latitude,Longitude,Geo Location
4109,NB 65 St btwn 104 - 106 Ave,30,(f),53.54796305,-113.43124335,"(53.54796304996242, -113.43124334993949)"
4217,SB 95 St Btwn 174 - N of 171 Ave,30,(f),53.63515145,-113.48814313,"(53.63515144927767, -113.4881431272712)"
4216,NB 95 St N of 171 - 174 Ave,30,(f),53.63515145,-113.48814313,"(53.63515144927767, -113.4881431272712)"
7175,NB 189 St between 87 - 93 Ave,50,(h),53.52489602,-113.64908690,"(53.52489601550884, -113.64908689743272)"
2530,WB 144 Ave between 77 - 79 St,50,(h),53.60697802,-113.46181613,"(53.60697801731469, -113.46181612937797)"
4007,SB Leger Way btwn Lawrence Court - Leger Road,30,(f),53.45946157,-113.57590239,"(53.45946156723076, -113.57590238546679)"
7176,SB 189 St between 95 - 91 Ave,50,(h),53.52806650,-113.64860256,"(53.52806650024237, -113.64860255678236)"
4110,SB 65 St btwn 106 - 104 Ave,30,(f),53.54796305,-113.43124335,"(53.54796304996242, -113.43124334993949)"
7084,SB 40 St between 137 - 132 Ave,50,(h),53.59517046,-113.40245329,"(53.59517045666539, -113.40245328717273)"
2507,WB 118 Ave between 60 - 62 St,50,"(a), (h)",53.57036818,-113.43491676,"(53.57036818443928, -113.43491675711711)"
2558,SB 156 St between 94 - 92 Ave,50,"(b), (c)",53.52837963,-113.59032512,"(53.52837963329957, -113.5903251192683)"
4088,EB 37A Ave E of 28 - 23 St,30,(f),53.47252750,-113.37907126,"(53.472527499479035, -113.37907125646824)"
4006,NB Leger Way btwn Leger Road - Lawrence Court,30,(f),53.45946157,-113.57590239,"(53.45946156723076, -113.57590238546679)"
4087,WB 37A Ave btwn 23 St - E of 28 St,30,(f),53.47252750,-113.37907126,"(53.472527499479035, -113.37907125646824)"
2721,NB 101 St between 107A - 108 Ave,50,(h),53.55228268,-113.49371677,"(53.552282684355454, -113.49371676559429)"
2449,EB Sask. Drive between 107 - 105 St,50,(h),53.52312546,-113.50337801,"(53.523125459060815, -113.50337800771118)"
7085,NB Gateway Blvd - South of Anthony Henday Dr.,90,"(a), (b), (c)",53.43486002,-113.49002456,"(53.43486002152614, -113.49002455995429)"
4113,WB 76 Ave btwn 105 - 106 St,30,(f),53.51227347,-113.50245064,"(53.51227346902059, -113.50245064070845)"
2615,NB 113A St between 134 - 136 Ave,50,(h),53.59665638,-113.51656063,"(53.59665638169049, -113.51656063070774)"
2553,NB 106 St between 45 - 48 Ave,50,(c),53.48476108,-113.50427766,"(53.48476108360112, -113.5042776612978)"
2789,NB 84 St between 102 - 105 Ave,50,"(a), (h)",53.54553273,-113.45713558,"(53.54553273350167, -113.45713557534033)"
4178,EB 64 Ave Btwn 177-172 St,30,(f),53.50026948,-113.62386994,"(53.500269484053426, -113.6238699448361)"
